aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,지역코드,계약일,평단가_만원
101동,힐스테이트창경궁,11110-2584,0060,0000,2022,개인,,,135855,16,9,2025,직거래,,84.96,5,60,1,N,25.10.15,율곡로,00236,00000,3100010,00,11110,0,11110,개인,16700,충신동,11110,2025-09-16,5286.0
101,종로센트레빌,11110-2224,0002,0001,2008,개인,,,90500,25,9,2025,중개거래,서울 종로구,59.92,5,2-1,1,N,25.11.18,동망산길,00047,00000,4100065,02,11110,0,11110,개인,17500,숭인동,11110,2025-09-25,4993.0
,동문상가,11110-33,0436,0041,1970,개인,,,26000,29,9,2025,중개거래,"서울 강남구, 서울 종로구",36.56,5,436-41,1,N,25.11.04,종로44길,00014,00000,4100341,01,11110,0,11110,개인,17400,창신동,11110,2025-09-29,2351.0
105,롯데캐슬로잔,11110-2246,0108,0000,2009,개인,,,225000,20,9,2025,중개거래,서울 종로구,219.775,1,108,1,N,26.01.05,평창문화로,00156,00000,3100023,01,11110,0,11110,개인,18300,평창동,11110,2025-09-20,3384.0
103,롯데캐슬로잔,11110-2246,0108,0000,2009,개인,,,200000,25,9,2025,중개거래,서울 종로구,190.743,5,108,1,N,25.11.20,평창문화로,00156,00000,3100023,01,11110,0,11110,개인,18300,평창동,11110,2025-09-25,3466.0
103,롯데낙천대,11110-71,0072,0000,2001,개인,,,93000,25,9,2025,중개거래,서울 종로구,91.06,5,72,1,N,26.01.02,평창문화로,00140,00000,3100023,01,11110,0,11110,개인,18300,평창동,11110,2025-09-25,3376.0
109,현대,11110-90,0082,0000,2000,개인,,,148990,21,9,2025,중개거래,서울 종로구,114.9,19,82,1,N,25.12.29,통일로,00246,00020,3000008,06,11110,0,11110,개인,18700,무악동,11110,2025-09-21,4287.0
,창신쌍용2,11110-91,0703,0000,1993,개인,25.11.07,O,83000,23,9,2025,중개거래,서울 영등포구,115.53,4,703,1,N,,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동,11110,2025-09-23,2375.0
,세종아파트,11110-2082,0056,0000,2005,개인,,,155000,22,9,2025,중개거래,"서울 종로구, 서울 중구",182.84,6,56,1,N,25.12.10,필운대로,00069,00000,2100002,04,11110,0,11110,개인,11100,옥인동,11110,2025-09-22,2802.0
205,경희궁자이(2단지),11110-2445,0199,0000,2017,개인,,,256000,25,9,2025,중개거래,서울 종로구,84.9895,6,199,1,N,26.01.09,송월길,00099,00000,4100192,01,11110,,11110,개인,17900,홍파동,11110,2025-09-25,9958.0
101,창신이수,11110-42,0023,0816,2003,개인,,,87000,30,9,2025,중개거래,서울 종로구,84.5,6,23-816,1,N,25.12.05,지봉로,00087,00000,3005007,01,11110,0,11110,개인,17400,창신동,11110,2025-09-30,3404.0
